VIN (1-10),City,Model Year,Make,Model,Electric_Vehicle_Type,CAFV_Eligibility,Electric_Range,Base_MSRP,Electric Utility
5YJ3E1EBXK,Seattle,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,0.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJYGDEE3L,Poulsbo,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291.0,0.0,PUGET SOUND ENERGY INC
KM8KRDAF5P,Olalla,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC
5UXTA6C0XM,Seabeck,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30.0,0.0,PUGET SOUND ENERGY INC
JTMAB3FV7P,Rainier,2023,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42.0,0.0,PUGET SOUND ENERGY INC
5YJSA1DN0C,Olympia,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265.0,59900.0,PUGET SOUND ENERGY INC
WBY1Z6C30H,Bellevue,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
3MW5P9J0XN,Marysville,2022,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1EA6J,Kirkland,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EA2J,Redmond,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1N4AZ0CP1E,Newcastle,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJXCDE27L,Seattle,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289.0,0.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
KNDCC3LD3K,Seattle,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26.0,0.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
LPSED3KA8M,Seattle,2021,POLESTAR,PS2,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,233.0,0.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJSA1H29F,Olympia,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,0.0,PUGET SOUND ENERGY INC
WBY7Z6C52J,Kent,2018,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1N4AZ0CP2G,Olalla,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,0.0,PUGET SOUND ENERGY INC
1N4AZ0CP5F,Issaquah,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5UXTA6C01N,Edmonds,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1EB5J,Yakima,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,PACIFICORP
5YJ3E1EB0J,Olympia,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,PUGET SOUND ENERGY INC
WBY1Z2C58F,Woodinville,2015,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
JM3KKEHA1S,Yelm,2025,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1EA8K,Seattle,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,0.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJ3E1EB0K,Mukilteo,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,0.0,PUGET SOUND ENERGY INC
5YJSA1E45G,Bothell,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,0.0,PUGET SOUND ENERGY INC
1N4AZ0CP9D,Kent,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1N4BZ0CP2H,Olympia,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107.0,0.0,PUGET SOUND ENERGY INC
1N4AZ0CP0D,Kingston,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75.0,0.0,PUGET SOUND ENERGY INC
1G1FZ6S04K,Langley,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,0.0,PUGET SOUND ENERGY INC
YV4H600N5P,Poulsbo,2023,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1EB5J,Yakima,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,PACIFICORP
5YJ3E1EA4K,Seattle,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,0.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
1C4RJYE63P,Arlington,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25.0,0.0,PUGET SOUND ENERGY INC
5YJSA1V24F,Selah,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,0.0,PACIFICORP
LPSED3KAXM,Bothell,2021,POLESTAR,PS2,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,233.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1EA7J,Bainbridge Island,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,PUGET SOUND ENERGY INC
5YJXCBE2XL,Redmond,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EB4K,Redmond,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1N4BZ0CP7H,Poulsbo,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107.0,0.0,PUGET SOUND ENERGY INC
7SAYGDEE8P,Olympia,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC
1G1RA6S59J,Olympia,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,0.0,PUGET SOUND ENERGY INC
5UX43EU02R,Poulsbo,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1EBXJ,Bothell,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EB2R,Yakima,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PACIFICORP
KL8CK6S02G,Bothell,2016,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJSA1H17E,Bothell,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,PUGET SOUND ENERGY INC
3C3CFFGEXH,Seatac,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
KNDCS3LFXP,Silverdale,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33.0,0.0,PUGET SOUND ENERGY INC
1G1RA6S51J,Poulsbo,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,0.0,PUGET SOUND ENERGY INC
7SAYGDEF5N,Bothell,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC
5LMTJ5DZ9R,Yakima,2024,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,28.0,0.0,PACIFICORP
KMHC75LJ2L,Bremerton,2020,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,170.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1EB2K,Yakima,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,0.0,PACIFICORP
1N4BZ1CV2N,Olympia,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC
5YJXCAE25L,Marysville,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293.0,0.0,PUGET SOUND ENERGY INC
KNDJX3AE8G,Yakima,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,PACIFICORP
KNDCR3L13R,Port Orchard,2024,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC
1C4RJXP63R,Olympia,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1EB4J,Duvall,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1N4BZ1CP6K,Bremerton,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150.0,0.0,PUGET SOUND ENERGY INC
1G1RC6E43F,Olympia,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38.0,0.0,PUGET SOUND ENERGY INC
WAUSPBFF7J,Burien,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
ZACPDFCW7R,Olympia,2024,DODGE,HORNET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,0.0,PUGET SOUND ENERGY INC
7PDSGABL8P,Bothell,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC
5YJXCAE29L,Sammamish,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EB7J,Olympia,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,PUGET SOUND ENERGY INC
5YJYGDEE6L,Bothell,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1EB6J,Oak Harbor,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,PUGET SOUND ENERGY INC
7SAYGDEE2N,Tieton,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PACIFICORP
1N4AZ0CP4F,Olympia,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,0.0,PUGET SOUND ENERGY INC
5YJXCDE20L,Olympia,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1EB8J,Lynnwood,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,PUGET SOUND ENERGY INC
1N4AZ0CP5F,Bremerton,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,0.0,PUGET SOUND ENERGY INC
1N4AZ1BV5P,Olympia,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC
JTDACACU0R,Bothell,2024,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39.0,0.0,PUGET SOUND ENERGY INC
JTMABACA4R,Yakima,2024,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PACIFICORP
KNDC4DLC4P,Suquamish,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC
7SAYGDEE1P,Bothell,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC
5YJYGDEE8L,Tumwater,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291.0,0.0,PUGET SOUND ENERGY INC
1N4BZ1CP8K,Kingston,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150.0,0.0,PUGET SOUND ENERGY INC
KNDRJDJH8S,Tumwater,2025,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30.0,0.0,PUGET SOUND ENERGY INC
WVWPR7AU9K,Edmonds,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125.0,0.0,PUGET SOUND ENERGY INC
5YJSA1E26G,Bainbridge Island,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,0.0,PUGET SOUND ENERGY INC
5YJSA1E16G,Port Orchard,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,0.0,PUGET SOUND ENERGY INC
1N4CZ1CV9S,Yakima,2025,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PACIFICORP
KNDCS3LF5R,Bremerton,2024,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33.0,0.0,PUGET SOUND ENERGY INC
5YJXCBE21J,Bothell,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,0.0,PUGET SOUND ENERGY INC
WBY1Z2C59F,Seattle,2015,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81.0,0.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5UXKT0C53G,Lacey,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1EA9J,Auburn,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1FMCU0E13R,Bremerton,2024,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37.0,0.0,PUGET SOUND ENERGY INC
1C4JJXR61P,Lacey,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21.0,0.0,PUGET SOUND ENERGY INC
JHMZC5F32J,Bothell,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47.0,0.0,PUGET SOUND ENERGY INC
1N4AZ1BP3L,Poulsbo,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1EB6K,Lacey,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,0.0,PUGET SOUND ENERGY INC
5YJYGDEE0M,Lacey,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1ET2R,Olympia,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC
1N4AZ1CP3J,Bothell,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1EA5L,Yakima,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266.0,0.0,PACIFICORP
WAUTPBFF9J,Port Orchard,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16.0,0.0,PUGET SOUND ENERGY INC
WBA8E1C32H,Tumwater,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14.0,44100.0,PUGET SOUND ENERGY INC
5YJ3E1EA6K,Olympia,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,0.0,PUGET SOUND ENERGY INC
JTMAB3FV2R,Tieton,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42.0,0.0,PACIFICORP
1C4JJXR6XN,Yakima,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22.0,0.0,PACIFICORP
1FTVW1EV2P,Lacey,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC
5YJXCDE24L,Everett,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1EA9L,Duvall,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EA9J,Olympia,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,PUGET SOUND ENERGY INC
1N4AZ0CP0F,Seattle,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,0.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJXCBE41J,Yakima,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,0.0,PACIFICORP
WA11AAGE6P,Lacey,2023,AUDI,E-TRON,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC
1G1FW6S06H,Yakima,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,0.0,PACIFICORP
WBY33AW05R,Yakima,2024,BMW,I4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PACIFICORP
5YJXCAE2XJ,Bothell,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,0.0,PUGET SOUND ENERGY INC
3FA6P0SU3F,Kingston,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19.0,0.0,PUGET SOUND ENERGY INC
1FADP5CU2G,Olympia,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19.0,0.0,PUGET SOUND ENERGY INC
WB523CF03R,Brier,2024,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC
JN1AZ0CP7C,Olympia,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73.0,0.0,PUGET SOUND ENERGY INC
JTMAB3FV4R,Olympia,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42.0,0.0,PUGET SOUND ENERGY INC
1G1FY6S07L,Yakima,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259.0,0.0,PACIFICORP
1G1FW6S04H,Olympia,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1EA2K,Silverdale,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,0.0,PUGET SOUND ENERGY INC
7SAYGDEF5P,Olympia,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC
WA1F2AFY6R,Lynnwood,2024,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23.0,0.0,PUGET SOUND ENERGY INC
7SAYGDEE1P,Bothell,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1EB0J,Seattle,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5UXKT0C52J,Seattle,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1N4AZ1CP8J,Tumwater,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151.0,0.0,PUGET SOUND ENERGY INC
1N4AZ0CP6F,Seattle,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,0.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJ3E1EC5L,Issaquah,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1G1FY6S07K,Kent,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1G1RB6E46D,Yakima,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38.0,0.0,PACIFICORP
WBY7Z8C5XJ,Kingston,2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97.0,0.0,PUGET SOUND ENERGY INC
1G1RD6E40E,Yakima,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38.0,0.0,PACIFICORP
1G1RC6S54G,Olympia,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1EA4L,Port Orchard,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266.0,0.0,PUGET SOUND ENERGY INC
1N4BZ1CP3K,Seattle,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150.0,0.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
7SAYGDEE4P,Olympia,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC
KNDJX3AE2H,Mount Vernon,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,32250.0,PUGET SOUND ENERGY INC
1C4RJXU6XR,Everett,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21.0,0.0,PUGET SOUND ENERGY INC
1N4AZ0CP4D,Everett,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75.0,0.0,PUGET SOUND ENERGY INC
5YJSA1E26G,Olympia,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1EB5J,Langley,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1EA4J,Kent,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EC8L,Monroe,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308.0,0.0,PUGET SOUND ENERGY INC
